FirstName,LastName,Department,Title,Password
Alice,Johnson,IT,Systems Administrator,P@ssw0rd2024!
Bob,Williams,IT,Help Desk Analyst,P@ssw0rd2024!
Carol,Davis,HR,HR Coordinator,P@ssw0rd2024!
David,Brown,HR,Recruitment Officer,P@ssw0rd2024!
Emma,Wilson,Finance,Financial Analyst,P@ssw0rd2024!
Frank,Taylor,Finance,Accounts Officer,P@ssw0rd2024!
Grace,Anderson,Marketing,Marketing Coordinator,P@ssw0rd2024!
Henry,Thomas,Marketing,Content Specialist,P@ssw0rd2024!
Irene,Martinez,IT,Network Administrator,P@ssw0rd2024!
James,Garcia,Finance,Finance Manager,P@ssw0rd2024!
